route_short_name,weekday_late,saturday_late,sunday_late,alldays_late
71,0.27206933523945676,0.29044988161010266,0.32918660287081336,0.2792634215692912
73,0.3339208242950108,0.2354405176704828,0.2671181339352897,0.3027484845968612
74,0.3822319362303934,0.7349397590361446,,0.4000976443305261
75,0.38487759528974275,0.38609871924017847,0.3953440461475072,0.38613107822410153
76,0.4673988842398884,0.6573033707865168,,0.4835725677830941
77,0.460431654676259,0.7351190476190477,,0.4822611163670766
78,0.29609690444145353,0.35256410256410253,,0.29891304347826086
8,0.4098658531114002,0.38214802155909033,0.382726089785296,0.4033908765192944
823,0.3443708609271523,1.0,,0.39076923076923076
824,0.33009708737864074,0.33333333333333337,,0.3301435406698564
886,0.3913043478260869,0.0,,0.38961038961038963
887,0.3212669683257918,0.0,,0.3155555555555556
888,0.31463414634146336,0.0714285714285714,,0.30660377358490565
889,0.3485838779956427,0.38888888888888884,,0.350104821802935
891,0.3053892215568862,0.0,,0.30447761194029854
892,0.25978647686832745,,,0.25978647686832745
893,0.11397058823529416,,,0.11397058823529416
894,0.273469387755102,,,0.273469387755102
895,0.36057692307692313,,,0.36057692307692313
9,0.467577828397874,0.46416938110749184,,0.4672871232115572
952,0.6484992101105845,0.679245283018868,,0.649734647460197
980,0.24242424242424243,,,0.24242424242424243
981,0.7555555555555555,0.8333333333333334,,0.7719298245614035
982,0.5174418604651163,0.4,,0.5141242937853108
984,0.6161616161616161,0.5789473684210527,,0.6101694915254237
986,0.5527950310559007,0.2857142857142857,,0.5416666666666667
987,0.7909407665505226,1.0,,0.8013245033112583
988,0.62,0.6666666666666667,,0.6222222222222222
989,0.6,0.6,,0.6
994,0.45985401459854014,0.7804878048780488,,0.48893805309734517
995,0.5,0.9285714285714286,,0.5174418604651163
A Line,0.359466514576524,0.3643096863788914,0.30585602387168964,0.35321417674358846
B Line,0.33130402104472,0.36251541307028357,0.27454268292682926,0.3286160598058542
C Line,0.39439886845827443,0.38314851279925377,0.3898473377187539,0.39234564759440693
D Line,0.3821809541463743,0.39775583482944343,0.3134726545131169,0.37658693710129976
E Line,0.4402550743082899,0.4634411947728687,0.3837859424920128,0.4375336975208798
F Line,0.3456927081111064,0.3698679471788715,0.4298179059180577,0.35942451514767393
